TIME,TOTAL_PRECIPITATION,HUMIDITY,SURFACE_PRESSURE,SEA_LEVEL_PRESSURE,TEMPERATURE,VISIBILITY,WIND_U_COMPONENT,WIND_V_COMPONENT,WIND_U_COMPONENT_2,WIND_V_COMPONENT_2
20210101010000,0.0,69.75539,100928.67,100933.63,301.01205,26555.58,5.455633,0.71713257,5.2345867,0.57035637
20210101020000,0.0,68.97713,101031.14,101033.4,301.00745,26671.076,5.8076973,0.7334919,5.540147,0.615242
20210101030000,0.03125,68.311325,101128.55,101128.76,301.00134,26756.824,5.9994507,0.7866421,5.733575,0.6346874
20210101040000,0.0,68.11571,101157.92,101159.94,300.8903,26777.576,5.7815,1.244133,5.562727,1.1140232
20210101050000,0.0,67.61124,101181.3,101176.234,300.83392,26840.084,5.2272625,1.8354664,5.0169363,1.6584873
20210101060000,0.0,67.125,101154.42,101146.97,300.52075,26897.21,3.4370728,1.0971355,3.3578873,0.9679756
20210101070000,0.0,66.8117,101049.3,101041.53,300.3305,26932.318,2.7504807,0.73594093,2.7196846,0.6441097
20210101080000,0.0,66.339355,100934.92,100933.45,300.2594,26982.486,1.9254684,0.549242,1.9254494,0.5099354
20210101090000,0.0,66.16975,100874.8,100874.15,300.2367,27006.785,0.91778564,1.0837078,0.8738127,1.0725842
20210101100000,0.0,66.8134,100844.14,100843.36,300.24765,26925.445,0.0056171417,1.3647804,0.03949833,1.3737602
20210101110000,0.0,66.83588,100855.266,100858.94,300.46625,26938.037,0.7728214,1.6676636,0.7349777,1.5907192
20210101120000,0.0,67.99029,100859.266,100863.52,300.84314,26793.82,1.4523201,1.1414967,1.452735,1.0133419
20210101130000,0.0,68.90947,100925.89,100921.49,300.93555,26678.842,1.3591118,0.71829224,1.3780899,0.6814461
20210101140000,0.0,68.30857,100992.42,100997.78,301.0948,26744.514,0.24899673,0.30281448,0.32787323,0.29189682
20210101150000,0.0,69.76392,101069.42,101070.75,301.16592,26561.16,2.2902546,0.6690674,2.1726894,0.6700344
20210101160000,0.0,70.07539,101107.55,101105.93,301.4643,26502.342,4.017947,1.1217098,3.8144627,1.0960522
20210101170000,0.0,68.41014,101066.17,101070.086,301.66168,26734.014,4.2861443,0.81019783,4.006016,0.7959461
20210101180000,0.0,64.12666,100999.14,101001.02,301.6897,27245.893,3.3831415,0.29782486,3.2359943,0.35500526
20210101190000,0.0,62.415295,100973.016,100974.56,301.79807,27411.0,3.4446726,0.341671,3.327217,0.24752617
20210101200000,0.0,61.749348,100914.89,100915.81,301.79077,27478.842,3.2897387,1.5491695,3.1730022,1.4265118
20210101210000,0.0,62.10219,100877.89,100877.87,301.65857,27438.516,2.2544641,2.563301,2.1702213,2.4142475
20210101220000,0.0,64.02811,100875.766,100876.06,301.4273,27253.814,1.7278023,2.8395576,1.6924887,2.7618122
20210101230000,0.0,65.280556,100879.05,100879.77,301.2765,27117.09,1.9150591,2.5765553,1.8954382,2.5617828
20210102000000,0.0,65.91012,100862.89,100861.61,301.6627,27032.502,0.59970474,2.000826,0.5859585,2.0308495
20210102010000,0.0,66.02523,100939.89,100936.71,301.6214,27028.621,1.0225697,1.6459274,1.023015,1.6464787
20210102020000,0.0,66.26361,101042.17,101046.44,301.6208,27007.04,1.4089413,1.3548374,1.3733816,1.3834038
20210102030000,0.0,66.68826,101138.05,101129.73,301.638,26941.0,2.0572395,1.5190983,1.9967842,1.5139885
20210102040000,0.0,66.63269,101154.05,101157.44,301.54736,26959.047,1.9233246,1.3609276,1.9311628,1.3804321
