TIME,TOTAL_PRECIPITATION,HUMIDITY,SURFACE_PRESSURE,SEA_LEVEL_PRESSURE,TEMPERATURE,VISIBILITY,WIND_U_COMPONENT,WIND_V_COMPONENT,WIND_U_COMPONENT_2,WIND_V_COMPONENT_2
20210101010000,0.0,70.25539,100944.67,100941.63,300.6683,26483.58,6.690008,1.1858826,6.3595867,1.0078564
20210101020000,0.0,69.22713,101047.14,101039.4,300.69495,26631.076,6.9639473,1.0772419,6.571397,0.896492
20210101030000,0.0,68.498825,101144.55,101136.76,300.68884,26724.824,7.2807007,1.3647671,6.78045,1.1346874
20210101040000,0.0,68.17821,101157.92,101165.94,300.60904,26761.576,6.578375,1.947258,6.297102,1.7233982
20210101050000,0.0,67.67374,101181.3,101178.234,300.55267,26832.084,5.2428875,2.6479664,5.0169363,2.4709873
20210101060000,0.0,66.6875,101138.42,101140.97,300.302,26953.21,3.7808228,1.1908855,3.5766373,1.0773506
20210101070000,0.0,65.1242,101017.3,101028.53,300.48676,27124.318,2.7504807,1.3609409,2.4853096,1.3003597
20210101080000,0.0,63.808105,100918.92,100919.45,300.5719,27278.486,1.0035934,1.767992,0.7223244,1.7286854
20210101090000,0.0,65.54475,100858.8,100858.15,300.45544,27086.785,0.95721436,2.4430828,1.1261873,2.4944592
20210101100000,0.0,67.03215,100828.14,100833.36,300.37265,26909.445,2.1350079,2.4272804,2.1792517,2.3581352
20210101110000,0.0,67.14838,100855.266,100850.94,300.56,26898.037,2.4915714,2.3551636,2.4849777,2.2313442
20210101120000,0.0,67.61529,100875.266,100863.52,300.9369,26833.82,1.9835701,1.6883717,1.983985,1.6070919
20210101130000,0.0,66.72197,100925.89,100929.49,301.0918,26934.842,0.24973679,1.0932922,0.2530899,1.0408211
20210101140000,0.0,67.49607,101024.42,101015.78,301.2823,26840.514,2.1885033,0.32218552,2.1408768,0.25497818
20210101150000,0.0,69.63892,101069.42,101068.75,301.50967,26569.16,5.7121296,0.8878174,5.3133144,0.8887844
20210101160000,0.0,69.20039,101091.55,101091.93,301.62054,26630.342,6.596072,0.09704018,6.1582127,0.01332283
20210101170000,0.0,68.59764,101066.17,101064.086,301.59918,26718.014,6.8173943,0.34605217,6.474766,0.25092888
20210101180000,0.0,65.12666,100999.14,100997.02,301.5647,27133.893,5.3362665,0.59280014,5.1734943,0.42624474
20210101190000,0.0,64.6028,100973.016,100978.56,301.5168,27195.0,5.1321726,0.951046,5.030342,0.71627617
20210101200000,0.0,63.311848,100914.89,100919.81,301.44702,27326.842,4.6491137,2.0647945,4.4855022,1.8327618
20210101210000,0.0,62.60219,100877.89,100883.87,301.34607,27398.516,3.5982141,2.797676,3.5452213,2.6173725
20210101220000,0.0,62.840607,100875.766,100886.06,301.20856,27373.814,3.4621773,2.5739326,3.4112387,2.4024372
20210101230000,0.0,63.530556,100879.05,100887.77,300.93274,27301.09,3.774434,2.4046803,3.7704382,2.2336578
20210102000000,0.0,63.97262,100862.89,100867.61,301.56894,27248.502,3.0997047,1.7508259,3.1640835,1.7183495
20210102010000,0.0,64.21273,100939.89,100940.71,301.4339,27228.621,3.1163197,1.4428024,3.10114,1.3964787
